course name,course_credits,course_code,course_desc,lecture_topic,assessment_plan,level_of_course,mandatory_prereqs,department,mid_eval,end_eval,project_eval,quiz_eval,assignment_eval
,,,,,,,,,,,,,
Computability Theory.xlsx,4,MTH507,"This course is an introduction to the mathematical theory of computable and non-computable functions. Computability theory (Recursion theory) emerged as a distinct branch of mathematics from the formal studies in the 1930’s by several logicians, including Gödel, Church, and Turing. The importance of this theory is evident from the applications and implications in fields as diverse as computer science, philosophy and the foundations of mathematics, as well as in many other areas of mathematics itself.
We will roughly cover the Chapters 1-5 of the textbook, “Turing Computability” by Robert Soare. The topics covered will be as follows.
Definition of computable functions; the Halting problem and other unsolvable problems; computably
enumerable sets; relative computability and Turing degrees/ degrees of unsolvability; the Turing jump operator; the Arithmetical hierarchy; the classification of computably enumerable sets; simple and hypersimple sets.
In addition, we will read the two seminal works in Computability theory: Turing’s 1936 paper on Computable Numbers and Post’s 1944 paper on Recursively Enumerable Sets.","['Definition of a Turing machine/ register machine, primitive recursive, computable and partial computable functions, the famous Halting problem and other unsolvable problems.', 'The enumeration theorem, the parametrization (s-m-n) theorem, and their implications.', 'Computably enumerable sets, the recursion theorem, complete and creative sets, elementary Lachlan games.', 'Relative computability, oracle Turing machines, Turing degrees, and the Turing jump operator.', 'The Arithmetical Hierarchy, Post’s theorem and the Hierarchy theorem, and the relativized hierarchy.', 'Classification of computably enumerable sets, Post’s problem, simple sets and hypersimple sets.']","{'Type of Evaluation': '% Contribution in Grade', 'Quizzes': 20, 'Midsem': 30, 'Endsem': 40, 'Attendance and Participation': 10}",5,Theory of Computation (CSE322) or equivalent,MTH,30,40,,20,
,,,,,,,,,,,,,
Computational Gastronomy.xlsx,4,BIO544,"This course is designed to provide an introduction to the emerging science of Computational Gastronomy, a blend of food, data science and computational techniques. Following are the specific objectives that the course aims to fulfil: (a) Introduction to the science of food; (b) Exposition to culinary data; (c) Analysis and visualization of culinary data (statistical analysis, text mining, natural language processing, machine learning); (d) Exposure to challenges and opportunities.","['Introduction to the science of food: History of food, Cultural influences, Impact of Technology, Role of data science. Cooking-- the craft and magic: Session by a practicing chef highlighting the need for scientific understanding of food. Role of Computational Gastronomy in achieving data-driven food innovations.', 'Culinary Data Analysis [Recipes]: Recipes data structure, Data compilation and curation, Visualization and analysis, The structure of world cuisines, Ingredient popularity and uniqueness.', 'Culinary Data Analysis [Flavors]: Flavors data structure, Data compilation and curation, Visualization and analysis, Molecular composition of ingredients, Sensory attributes of taste and odor.', 'Culinary Data Analysis [Food Pairing]: Food pairing, Hypothesis testing, Culinary fingerprints, Comparative analysis of world cuisines, Data visualization.', 'Culinary Data Analysis [Health-Nutrition]: Nutrional data analysis, Health impacts of food, Food-disease associations, Data analysis and visualization. ', 'Modeling and Prediction [Cuisine]: Cuisine classification, Features selection, Implementation of machine learning models, Comparison with the state of the art, Identity of a cuisine,Trasnforming a recipe from one cuisine to another. ', 'Modeling and Prediction [Flavor and Fragrance]: Prediction of taste and odor; Features selection, Implementation of machine learning models, Comparison with the state of the art.', 'Opportunities and Challenges: Challenges for building the foundations of a data-driven culinary science; Scope for compilation of culinary data from textbooks, scientific literature, traditional knowledge sources, web-based sources (Twitter, Culinary forums, Reviews, Restaurant menus, Food service aggregators, FMCG data repositories, etc.); Opportunities in food-tech industry; Entreprenurship; Policy making; Food security; Public Health, and Sustainable Development.  ']","{'Type of Evaluation': '% Contribution in Grade', 'Mid-Sem': 15, 'Assignments': 30, 'Mini-Project': 20, 'End-Sem': 35, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'Why Does Asparagus Make Your Pee Smell - Fascinating Food Trivia Explained with Science by Andy Brunning', 'Research Article': ""BitterSweet: Building machine learning models for predicting the bitter and sweet taste of small molecules', Tuwani et al., Scientific Reports (2019)""}",5,None,BIO,15,35,20,,30
,,,,,,,,,,,,,
Computer Aided Drug Design.xlsx,4,BIO561,"This course teaches the principles and practice of dug discovery, molecular mechanics and biomolecular simulations with an emphasis on the practical skills needed to perform and interpret simulations of biological macromolecules. In addition, this course will also introduce Molecular Docking technique that is essential for Computational Drug Design.","['Introduction to drug discovery', 'Structure-Function relation and properties of protein', 'Introduction of Biomolecular simulations, application in present research field', 'Concept of molecular Force Fields and Thermostats.\n\n\n', 'Understanding the dynamics - Introduction of of simulation Molecular Dynamics.  Extracting Thermodynamics and Kinetics data from simulation trajectory, understanding the concept of equilibrium in simulation. ', 'Introduction to Steered Molecular Dynamics ', 'Analyzing the trajectories to understand biophysical parameters', 'ADME-rules', 'QSAR/Pharmacophore', 'Introduction to Computational Drug Designing, Theoretical basis of Molecular Docking and hands on experience with AUTODOCK']","{'Type of Evaluation': '% Contribution in Grade', 'Mid-sem': 20, 'End-sem': 30, 'Project 1': 30, 'Assignment+Quiz': 20}",5,None,BIO,20,30,30,20,20
,,,,,,,,,,,,,
Computer Architecture.xlsx,4,ECE 511/ CSE 511,"This course forms a strong foundation in the understanding and design of modern computing systems. Building on a computer organization base, this course explores techniques that go into designing a modern microprocessor. Fundamental understanding of computer architecture is key not only for students interested in hardware and processor design, but is a foundation for students interested in compilers, operating systems, and high performance programming. This course will explore how the computer architect can utilize the increasing number of transistors available to improve the performance of a processor. Focus will be given to architectures that can exploit different forms of parallelism, whether they be implicit or explicit. This course covers architectural techniques such as multi-issue superscalar processors, out-of-order processors, Very Long Instruction Word (VLIW) processors, advanced caching, and multiprocessor systems.","['Introduction: Architecture and Micro-architecture, Machine Models, ISA Characteristics', 'Introduction: Architecture and Micro-architecture, Machine Models, ISA Characteristics', 'Pipelining: Basics, Structural Hazards, Data Hazards, Control Hazards', 'Superscalar: In-Order, Out-of-Order, Bypassing, Interrupts, Exceptions, Speculation, Register Renaming', 'Superscalar: In-Order, Out-of-Order, Bypassing, Interrupts, Exceptions, Speculation, Register Renaming', 'VLIW: Compiler Optimizations, Challenges, Predication, Case Study', 'Branch Prediction: Static and Dynamic Outcome Prediction, Target Address Prediction', 'Caches: Motivation, Performance, Optimizations', 'Memory Management: Base and Bound Registers, Page based Memory Systems, Translation and Protection, TLB, Cache and Memory Protection Interaction', 'Vector Processor and GPU: Vector Parallelism, Vector Hardware Optimizations, Vector Software and Compiler Optimizations, Reduction, Scatter/Gather, SIMD, GPU', 'Parallelism: Coarse grain Multithreading, SMT, Synchronization, Sequential Consistency, Cache Coherence Protocols, Message Passing', 'Multiprocessor Interconnections: Interconnect Design, Topology, Network Performance, Routing and Flow Control', 'Architectures for AI/ ML']","{'Type of Evaluation': '% Contribution in Grade', 'Mid-sem': 20, 'End-sem': 30, 'Project 1': 30, 'Assignment+Quiz': 20}",5,,ECE,20,30,30,20,20
,,,,,,,,,,,,,
Computer Graphics.xlsx,4,CSE 533/333,"This course will provide basic concepts of computer graphics including necessary mathematics and algorithms. Primary focus of this course will be to understand the basics of 2D/3D rendering. The course will also cover various aspects of the rendering pipeline and realistic image synthesis using raytracing. The standard shader based OpenGL rendering API will be introduced, and used with lab exercises, assignments, and projects. The students will learn building complete graphics systems through projects.","['Introduction, Shape representation', 'Shape representation', 'OpenGL basics and programmable graphics pipeline, Rasterization and scan conversion', '2D/3D transformations', 'Modelling, viewing, and projection\ntransformations', 'Clipping', 'Visibility', 'Color', 'Lighting and shading', 'Texturing, Implicit modelling', 'Parametric curves and surfaces', 'Raytracing, Animation', 'Advanced raytracing, introduction to global\nillumination, and Ambient occlusion']","{'Type of Evaluation': '% Contribution in Grade', 'Assignment': 20, 'Quiz': 5, 'Laboratory': 5, 'Project': 30, 'Mid-sem': 15, 'End-sem': 25, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'Peter Shirley, Fundamentals of Computer\nGraphics, AK Peters Ltd.', 'Reference': 'Interactive Computer Graphics – A top-down approach with OpenGL, Edward Angel and Dave Shreiner, 6th Ed., Addison-Wesley.'}",3,CSE101 Intro to Programming,CSE,15,25,30,5,20
,,,,,,,,,,,,,
Computer Networks.xlsx,4,CSE 232,"This course teaches the standard layers in network, circuit and packet switching, protocols at the link layer, routing algorithms, TCP/IP protocol, and new challenges in wireless networks.
","['Introduction: Networks edge, Network core, Internet structure, OSI Reference Model, What is a Protocol? Circuit switching vs Packet switching, Datagram vs Virtual Circuits, etc.', 'Application layer - DNS, Email (SMTP, IMAP, POP), FTP Socket Programming ', 'Application layer: Web (HTTP), Proxy, Peer-to-peer file sharing,', 'Transport layer: Principles behind transport layer services', 'Transport layer: UDP and TCP', 'Network layer: Principles behind network layer services, Internet Protocol, ICMP, Introduction to IPv6', 'Review of shortest path algorithms, Internet routing, Link State vs. Distance Vector, Intra-AS (RIP, OSPF) vs Inter-AS (BGP)', 'Link layer: Ethernet, WiFi, Token Ring, MAC layers, Error detection, ARP, RARP, BOOTP, DHCP', 'Physical Layer, Data encoding', 'Challenges in Wirelless Networks']","{'Type of Evaluation': '% Contribution in Grade', 'Assignment': 25, 'Midsem': 20, 'Quiz': 15, 'End sem': 40, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Text/Other resources:': 'The main text book for the course is: J.F.Kurose and K.W.Ross, Computer Networking: A Top-Down Approach, Pearson, Fifth Edition, 2012. \n', 'Other reference books are:': 'A. S. Tanenbaum and D. J. Wetherall, Computer Networks, Pearson, Fifth Edition, 2014.'}",2,CSE101 Intro to Programming,CSE,20,40,,15,25
,,,,,,,,,,,,,
Computer Vision.xlsx,4,"CSE 344/544, ECE 344/544",This is an introductory course on Computer Vision offered to undergraduate and graduate students. The goal is to develop understanding of   the fundamental concepts in computer vision and enable students to understand and develop applications using existing tools. Students will be given theoretical and programming assignments targeted towards solving real-world computer vision problems. Groups of two or three will do    a course project and show a demonstration at the end of the semester.,"['Introduction to Computer Vision', 'Camera geometry and camera calibration', 'Camera geometry and camera calibration Review of Digital Image Processing']","{'Type of Evaluation': '% Contribution in Grade', 'Assignment': 20, 'Project': 30, 'Quiz': 10, 'Mid-sem': 15, 'End-sem': 25, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type                                                                 Title': None, 'Reference': 'Richard Hartley and Andrew Zisserman, \\Multiple View\nGeometry"", Cambridge University Press, 2004'}",5,Linear Algebra,CSE,15,25,30,10,20
,,,,,,,,,,,,,
"Computer, Information Ethics and Society.xlsx",4,SSH224,"This course is aimed at teaching students about ethical problems that computer scientists face, the codes of ethics of computing professional societies, legal issues involved in technology, and the social implications of computers, computing, and other digital technologies. The aim is to understand and respond to the nuances of a digital society and the challenges it faces. ","['Course Overview, Introduction to Computer Ethics\nand  Cyber Ethics', 'Moral Reasoning and Thinking in Philosophy', 'Ethical Concepts and Theories', 'Consequestionalism and Computing', 'Digital Divide and Distributive Justice', 'Professional Ethics and Responsibility', 'Privacy', 'Privacy (cont.)', 'Security', 'Ethical issues in Artificial intelligence', 'Community and Personal Identity', 'Ethics and Intellectual Property', 'Course Wrap Up']","{'Type of Evaluation': '% Contribution to Grade', 'Response Papers (2)': 0.2, 'Presentation': 0.1, 'Attendance and Class Participation': 0.1, 'Mid Semester Exam': 0.2, 'End Semester Exam': 0.4}",2,N/A,SSH,20,10,,,
,,,,,,,,,,,,,
Computing For Medicine.xlsx,4,BIO546/CS585,"This objective of this course is to train students in creation of computing solutions that are relevant to medicine. The course will pick timely and relevant topics in computing such as the building blocks of electronic health records, modeling and visualizing diseases, pathogen and human factors involved in spread and the ever increasing role of information management and computing in managing diseases.","['Computing and Healthcare - The Big Picture (Health Perspective)', 'Build the National Health Stack: Interoperability, Data Standards (HL7, DICOM, FHIR)', 'Clinical Vocabularies and Ontologies', 'Anonymization techniques for sharing data between hospitals', 'Anonymization techniques for sharing data between hospitals: Tools Evaluating and Enhancing Data Quality in Medicine and Public Health', 'Computing the Host and Pathogen Factors for Disease', 'Agent based models (ABM)s, Epidemics / infectious diseases ', 'Building ABMs for Epidemics like COVID ', 'Randomization and Associative modeling ', 'Predictive & Causal Modeling ', 'Managing Infodemic by Identifying and Mitigating Fake News', 'Managing Infodemic with NLP and Effective Risk Communication Strategies']","{'Type of Evaluation': '% Contribution in Grade', 'Mid-Sem': 20, 'Assignments': 15, 'End-Sem': 25, 'Project ': 25, 'Quizzes ': 15}",5,,BIO,20,25,25,15,15
,,,,,,,,,,,,,
Consumer Culture and Society_SOC209.xlsx,4,SOC209,"“We live in a consumer society” is a phrase we come across very often. This statement points towards the disproportionate significance of material possessions, consumer goods and services in modern societies and the power of money to “buy it all”. Rising consumption levels is a key aspect of contemporary societies. Right from the food we eat, the clothes we wear, the cars we drive, the media we consume, the technologies we use and the health and educational services we get, consumption pervades our everyday lives and practices. The course on Consumer Culture and Society will draw students into questions like- is shopping only a frivolous activity? Do people claim identities through commodities? What is modern consumption based on- needs or wants? Emphasis in this course will be on understanding consumption practices by embedding them within their social, cultural, and economic contexts. An introduction to classic anthropological studies on consumption and material exchange will provide insights into material culture that has transitioned into corporate cultures of material exchange. Both the positive and negative impacts of consumerism on individuals and societies will be interrogated. Lectures will be complimented through field-based activities where students will examine consumption places and spaces (shopping malls, local markets, advertisements and e-stores) to understand what all (in addition to the actual product) is being sold – an image, a lifestyle, a status symbol, a body type, modernity etc. Using specific consumption domains like food, fashion, media/entertainment technology and intimate relations the course will make the learners engage with the ideas of liberation, choice, identity, status, inequality, lifestyle, freedom, signification, and power. Further, critiques of consumerism and their linkages with big issues of consumer protests and environmental degradation will also be discussed.","['Introducing Consumer Culture', 'Theoretical Approaches (Mauss, Veblen, and Miller)', 'Conspicuous Consumption in Everyday Life', 'Lifestyle Practices and Society', 'Subjectivity and Reflexivity', 'Commodification and Material Culture', 'Image Economy: Fashion, Cosmetics and Body', 'Media and its effect on the practice of Consumption', 'Food Practices and Ecological Concerns', 'Responsible Consumption and Ethics (D. Miller)', 'Anti-Consumption Strategies: Wave of Minimalistic Lifestyle', 'Summing up and Review', 'Student Presentations']","{'Type of Evaluation': '% Contribution in Grade', 'Quiz': 10, 'Presentations and Final Project Report Submission': 25, 'Assignments': 20, 'Mid Semester Exam': 20, 'End Semester Exam': 25}",2,N/A,SOC,20,25,25,10,20
,,,,,,,,,,,,,
Contemporary India Sociological Perspective_10th April.xlsx,4,SOC202,"This course will systematically familiarize students with some of the important vignettes of a complex and highly diverse country–India.  Using a historically contextualized approach to understand the shaping of ‘contemporary’, this course will provide an overview of the functioning and transformation of India in the face of global social change. Grounded in sociology but drawing upon recent developments in the other social sciences as well, this course will critically examine the transformations in India’s social, cultural, political, economic and technological realms and will critically interrogate the developmental issues and fault lines facing Indian society both from the vantage point of contemporary and indigenous sociological theory. ","['Introducing India: Historical Overview and Population Profile', 'Themes and Approaches ', 'Social Institutions: Structure and Changes-I', 'Social Institutions: Structure and Changes-II', 'Forms of Social Stratification and Social Mobility', 'Politics of Inclusion/Exclusion', 'Indian Economy: Historical Overview and Regional Disparities', 'Development Indicators', 'Popular Culture and Mass Media- I', 'Popular Culture and Mass Media- II', 'Technologies and Development-I', 'Technologies and Development-II', 'Summing up and Review']","{'Type of Evaluation': '% Contribution in Grade', 'Quizzes': 20, 'Class Participation (Attendance)': 10, 'Assignments': 30, 'Mid Semester Exam': 20, 'End Semester Exam': 20, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title'}",2,N/A,SOC,20,10,,20,30
,,,,,,,,,,,,,
Control Theory.xlsx,4,ECE 570,"The goal of this course is to provide introductory knowledge in control systems. This course covers modelling a system, analysing the response of the system in time and frequency domain, and designing a feedback controller to control the system. The course will have an equal weightage on theoretical foundations and simulation based implementation.","['Introduction and Modelling a dynamical system with differential\nequations', 'Behavior of dynamical systems - equilibrium points, stability, limit\ncycles and other key concepts of dynamical systems', 'Linear systems - input/output behavior for linear systems and\nlinearization', 'Time-domain response', 'Root locus', 'Frequency domain analysis', 'State-space modeling, Controllability and Observability', 'Controller and observer synthesis', 'PID Controller']","{'Type of Evaluation': '% Contribution in Grade', 'Homework': 20, 'Mid-sem': 30, 'Quiz': 20, 'End-sem': 30, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'Modern Control Engineering, Katsuhiko Ogata, 5th edition', 'Reference': 'Feedback Systems: An Introduction for Scientists and Engineers by Karl J. strm and Richard M. Murray, Princeton University http://www.cds.caltech.edu/~murray/amwiki/index.php/ Second_Edition [Chapters 4 and 5]\nAutomatic control systems, Benjamin. C. kuo\nControl systems and engineering, I. J. Nagrath, M. Gopal'}",5,,ECE,30,30,,20,
,,,,,,,,,,,,,
Convex Optimization.xlsx,4,MTH3xx,"Convex optimization problems constitute an important class of optimization problems for which there is a complete mathematical theory as well as efficient algorithms. As such they have been usefully applied in diverse areas of economics, operations research and engineering. The philosophy behind the course is that an initial investment in structure theory of convex sets and functions yields rich dividends in terms of a better vision of convex (and even non-convex) optimization problems.","['Convex Sets - Affine Sets, Cones, Hyperplanes and Polyhedra', 'Convexity Preserving Operations; Separating and Supporting Hyperplane Theorems', 'Dual Inequalities Characterization of Minimal Elements', 'Convex Functions and Properties; Convexity Preserving Operations', 'Conjugate Functions and Properties', 'General Discussion of Optimization Problems', 'Convex Optimization Problems and Optimality Conditions', 'Lagrangian Dual Problem; Strong Duality and Slater’s Constraint Qualification', 'Geometric and Shadow Price Interpretation of Duality; \nComplementary Slackness Condition of Optimality', 'Karush-Kuhn-Tucker Optimality Conditions ', 'Solving Primal Problems via their Duals; Envelope Theorem ', 'Quadratic Optimization Problems', 'Multicriterion Optimization Problems']",{'Type of Evaluation': '% Contribution in Grade'},3,Linear Algebra (MTH 101),MTH,,,,,
,,,,,,,,,,,,,
Coputer Organization.xlsx,4,CSE112,"This course considers a computer as a stand alone device. It deals with basic computer functionality, and how it is realized in software. We deal in detail with the hardware organization that delivers it. The layers in the computer organization are revealed systematically and the manner in which organizational components are managed is described. The course lays the basis for more advanced topics in computer science, both hardware and software. ","['terms and global organization', 'instruction sets and m/c language programming', 'assembly programs, macros and procedures', 'one/two pass assembly, presentation and project discussion', 'Linking, loading', 'Number and character representation', 'Process structure and the control unit', 'Pipelining and Vectorprocessing', 'Cache Management', 'Memory, segmentation and virtual memory', 'Storage and RAID', 'The I/O system', 'IO system and basic Multicore and multiprocesor systems']","{'Type of Evaluation': None, 'Presentation': None, 'Quiz': None, 'Projects': None, 'Mid-sem': None, 'End-sem': None}",1,Programming,CSE,,,,,
,,,,,,,,,,,,,
Critical Thinking and Readings in Social Science.xlsx,4,SSH101,"This course offers an introduction to ideas about reasoning and elements of thinking critically. In particular, it develops an appreciation of the relevance of reasoning and ideation in the realm of the social sciences. It includes an introduction to key elements and concepts of reasoning and informal logic as well as an applied component which uncovers the value of critical thinking involved in social theory building. In the first part of the course, students will learn about types and nature of good and bad arguments. They 'll be able to differentiate and evaluate the logic in deductive arguments and understand key concepts of validity and soundness. Similarly, students will also be introduced to ideas in inductive thinking and to ways in which one can spot fallacies and other common mistakes. In addition, this course also introduces students, many of whom will be handling social science data for the first time, to the role of critical thinking in social theory development; including in making observations, developing concepts as well as in coming up with explanations that form the basis for doing modern social sciences. The course ends with an exposition on the role of computational power and its implications for values in an era of big data.","['CriticalReading: Annotating and basic tools', 'Introdction to Kialo: A practical guide', 'Critical Thinking and introduction to arguments', 'Types of Arguments', 'Inductive Reasoning', 'Deductive reasoning and formal logic', 'Bad Arguments 1: Fallacies', 'Bad arguments 2: Vagueness and and other problems', 'Reasoning projects: Workshop on academic reading/writing', 'Reasoning in Social Sciences part 1: Concept building', 'CT and Social Sciences Part 2: Analogies and typologies', 'CT and social sciences Part 3: Explanation', 'Social Sciences in compuational age', 'Revision and presentations']","{'Type of Evaluation': None, 'Presentation': None, 'Quiz': None, 'Projects': None, 'Mid-sem': None, 'End-sem': None}",1,Nil,SSH,,,,,
,,,,,,,,,,,,,
Data Lifecycle Management.xlsx,2,CSE606A,"Typically, in an AI lifecycle, 80% of time is spent in data management and only 20% of time is spend in model learning. The data handling includes data collection, exploration cleaning, labeling, organization and handling updates. In this course, we will go over concepts, algorithms, toolkits and recent research papers to understand data lifecycle. The students will also learn from industry experts on their experience in applying these concepts for building in-production systems. Finally, we will go over how the problem becomes more complex as the data gets hosted on hybrid data platforms.","[""Background: 1. ML background refresher\n2. What is data lifecycle and why is it important?\n3. Why is this important in the industry  \n4. Data and Features\n5. Trends on where Data Scientist's time is spent\n6. Importance of Data Prep\n7. Case Study\n8. Data For AI\n9. AI for Data\n"", 'Data Lifecycle\n1.  Overview of different steps\n2. Data Acquisition and associated challenges\n1. Ethical Aspects\n2. PI/SPI identification\n3. Encryption\n4. Metadata \n5. How do data acquisition challenges contribute to upstream uses\n', 'Data Exploration and associated challenges\n1. Statistical Inference and exploratory data analysis\n2. Data Variable Types and Identification\n3. Data Exploration using Python\n4. Can all data issues be caught in data exploration?\n', 'Data Cleaning/Preparation\n1. Programmatic\n1.1. Missing Values\n1.2. Outliers\n1.3. Data Representations and Challenges\n1.4. Data Labeling and challenges\n1.5. Data Bias - can cleaning lead to bias?\n\n2. Non Programmatic\n2.1. Data transformations\n2.2. Normalization\n', 'Data Quality Analysis for ML\n1. Overview of what it means and how it helps a data scientist\n2. Discussion on methods to capture quality issues\n1. Label Noise\n2. Homogeneity\n3. Class Overlap\n4. Advanced class imbalance\n5. Feature Strength\n3. Research Trends\n', 'Data Governance\n1. Data Sharing\n2. Access Policy\n3. Regulations like GDPR\n4. Advanced Policy Driven Actions\n', 'How it all comes together\n1. Enterprise Case Studies. (May be get an external speaker-Chief Data Officer)\n', 'Re looking Data in Hybrid Cloud world\n1. Federated Data\n2. New Challenges in Governance\n3. New Challenges in Discovery\n4. Glimpse of tools in HC - Kubernetes, Istio, OpenSift etc \n', 'Project Presentations']","{'Type of Evaluation': '% Contribution in Grade', 'Assignments': 0.15, 'Mid Term': 0.15, 'Project': 0.5, 'Final term': 0.2, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'The instructors will provide lecture notes and point to research papers which will be discussed in the class.'}",0,Introductory ML course,CSE,15,,50,,15
,,,,,,,,,,,,,
Data Mining.xlsx,4,CSE506,"Data mining aims at finding the useful patterns in large data sets. Interest in the field is motivated by the growth of computerized data collection due to ubiquity of Internet enabled devices. This course will cover a set of techniques designed to be used for finding interesting patterns from the data. The techniques include classification, clustering, association rule minin and sequence mining. Students will learn and use the open source R statistical software, see http://www.r-project.org, and machine learning packages such as Weka in this course.","['Exploratory data analysis on numeric and categorical attributes, frequent pattern mining (introduction), partitional clustering (K-Means, EM), Classification (Decision Trees) ', 'Exploratory data analysis on high dimensional data, PCA, SVD, LDA, Frequent pattern mining (Itemset summaries), sequence pattern mining', 'Probabilistic classification, support vector machines, kernel svm, classifier evaluation', 'Hierachical/Density based clustering, Spectral clustering, Graph Mining']","{'Type of Evaluation': '% Contribution in Grade', 'End-sem': 25, 'Mid-sem': 25, 'Quiz': 10, 'Project': 10, 'Homework/Programming Assignments': 30, 'Resource Material': None, 'Type': 'Title', 'Reference': 'Anand Rajaraman and Jeffrey David Ullman: Mining of Massive Datasets', 'Other Materials': None}",5,CSE202 Fundamentals of Database Systems,CSE,25,25,10,10,30
,,,,,,,,,,,,,
Data Structures and  Algorithms.xlsx,4,CSE102,"This course is aimed at giving students a background in basic data structures and algorithms along with their impact in solving real life problems using a computer. The major focus will be on  covering the basic data structures, b) Algorithm  analysis using recurrence relations and c) problem solving using Java.","['1.Introduction to Java,handling arrays,methods,linear search, insertion sort, selection sort and Bubble sort\n2.Binary search,Time Complexity, Asymptotic Analysis,Big –Oh notation,Recurrence relation   3. Revision of Recursion:-Fibonacci sequence generation,Tower of Honoi,', '4.• Lists and Implementations:- Linked lists , Recursive functions on lists,Deletion, insertion, reversing, joining,Stacks, Queues using linked lists,handling Polynomials\n5. Sorting Algorithms:- Merge and Quick sort,Bucket and radix sort', '6. • Tree data structure and Implementations:-binary and complete trees,  tree traversals,tree algorithms, Binary search trees, insertion and deletion', '7. AVL trees, B-Trees \n8. Heap Trees - Priority Queues, heap sort', '9.• Hashing:-Chained Hash Tables,Linear Probing,  Double Hashing\n10. Disjoint Set Class:-Smart Union Algorithms,Path compression', '11.• Graph and Direct Acyclic Graph Algorithms:-BFS, DFS,Topological sort,Minimum spanning trees,Huffman coding,Shortest path']","{'Type of Evaluation': '% Contribution in Grade', 'Mid-sem': 30, 'End-sem': 35, 'Laboratory': 20, 'Quiz and homeworks': 15, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'Cormen et al.: Introduction to Algorithms'}",1,CSE101 Intro to Programming,CSE,30,35,,15,
,,,,,,,,,,,,,
Data Warehousing.xlsx,4,CSE 606,"The international market for Business Intelligence and Data warehouse is increasing rapidly and is currently estimated to be in hundreds of billion of US dollars. A number of Indian companies, even in NCR of Delhi, are already carrying out projects in the area. Yet, there is an acute shortage of skilled human resources in the subject and the course attempts to plug this gap.

Students will be taken over the development life cycle of a data warehouse. The application environment in which a data warehouse is embedded shall be brought out so that the value of the new technology is clearly discernible.
The international market for Business Intelligence and Data warehouse is increasing rapidly and is currently estimated to be in hundreds of billion of US dollars. A number of Indian companies, even in NCR of Delhi, are already carrying out projects in the area. Yet, there is an acute shortage of skilled human resources in the subject and the course attempts to plug this gap.

Students will be taken over the development life cycle of a data warehouse. The application environment in which a data warehouse is embedded shall be brought out so that the value of the new technology is clearly discernible.
","['Overview of Databases, Data Warehouse Definition, Decisions and their types, Decision making process\n', 'Influence and Augmented Influence diagrams\nPerspectives of DW: Basic Dimension Modeling\n', 'Decisional and DW Information Models\nConversion to Dimension Model\nComputer Assisted Tools\n', 'Databases vs. Data Warehouses\nStar Schema Design\n', 'The DW Process, ETL', 'Fact Design, transaction, periodic snapshots, evolving snapshots, granularity \nMultiple and type specific stars\n', 'Evaluation of  Decisional Tools of students', 'Dimension Design: Types, properties and design considerations', 'Dimension Design: Bridges, Attribute and Recursive Hierarchies, Transactions, snapshots', 'Operational Issues in Star Schema Design: NULLS, Special rows in Dimensions, snowflake schema issues', 'Data Warehouse Consolidation\nAgile DW development\n', 'Business Intelligence\nOLAP operations\nMining\nVisualization\n', 'Project Evaluation']","{'Type of Evaluation': None, 'End-sem exam': None, 'Mid-sem Exam': None, 'Quix exam': None, 'Decisional Tool construction': None, 'DW constrcution': None}",6,Relational DBMS,CSE,,,,,
,,,,,,,,,,,,,
Decision Theory (Minor Updates).xlsx,4,ECO503,The theory of rational choice permeates every discipline that touches upon human behavior. This course provides foundations for rational decision making in certain and uncertain environments. Various representation theorems are discussed and the associated decision rules are illustrated in applications. A constant theme in the course are the closely intertwined concepts of utility and probability.,"['Utility and Its Maximization', 'Probabilistic Choice ', 'Decisions under Risk: Von-Neumann Morgenstern Theorem', ""Decisions under Uncertainty: Savage's Theorem"", 'Allais Paradox, Ellsberg Paradox', 'Decisions under Uncertainty: Prospect Theory', 'Economic Applications', 'Economic Applications', 'Decision Theory and Statistics', 'Decision Theory and Statistics']","{'Type of Evaluation': '% Contribution in Grade', 'Report 1': 20, 'Report 2': 20, 'Midterm': 30, 'Endterm': 30}",5,,ECO,30,30,,,
,,,,,,,,,,,,,
